nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	119424	119739	315	3.89348456860048	1.2238655242514	18.8621038377136	10.1206758053158	18.8621038377136	0.31506162658686	125	2.17905744979548	124	0
1	Fp1-Fp2	134356	134433	77	3.40771523714786	1.29694699641713	13.3617250290299	6.90370359285595	13.3617250290299	0.310040771675529	NaN	1.93377186044311	300	0
1	Fp1-Fp2	341555	341736	181	3.67985801169024	1.22528498547882	15.7419272729983	9.01961291450538	15.7419272729983	0.392948945225282	110	0.410571379115046	109	0
1	Fp1-Fp2	448159	448224	65	4.06941944335156	2.51701613793285	14.225960234234	2.61392373013855	23.055662177687	1.12790732806398	83	0.993363381691836	82	0
2	Fp1-F7	119451	119734	283	3.55409090914641	1.10817222841223	17.6481242444623	10.2859057408996	17.6481242444623	0.292336838649021	NaN	2.17515887430122	300	0
2	Fp1-F7	127678	127739	61	3.62897200966224	1.2449665002585	11.79018938359	8.49673172160716	12.6162205105908	0.414888841347283	120	0.44767425415228	119	0
2	Fp1-F7	248735	248815	80	3.19828820398852	1.09110253074916	10.8715804302921	8.59219384484962	10.8715804302921	0.332382508520101	109	0.413708699375155	108	0
2	Fp1-F7	319207	319292	85	3.49822803102328	1.32492156255555	13.0805508742619	6.97133406636503	13.0805508742619	0.472124821562158	89	0.363222596799748	88	0
2	Fp1-F7	448156	448239	83	3.02718439719404	1.79440198611035	11.0464390613899	3.90245773253683	15.4417595537351	0.687086234867261	125	1.04612954509287	124	0
2	Fp1-F7	448905	449079	174	3.50855929456685	1.71999519493533	15.4417595537351	4.58245961141715	15.4417595537351	0.877751906569367	83	0.716359393566625	82	1
3	F7-T3	228439	228788	349	6.0332457887834	1.17851625361853	30.7872439033767	26.2078191881096	30.7872439033767	1.06558132156592	83	3.78603047444291	82	1
3	F7-T3	238137	238192	55	3.21572962614626	1.24346067616868	10.1252270593802	6.68797964397118	10.4166837071653	0.474735535287961	84	0.493774798777359	111	0
3	F7-T3	326435	326543	108	3.6307545349717	1.33080391689569	14.3431115668881	7.44330193052149	14.3431115668881	0.444115045657734	116	2.09146887827729	115	0
4	T3-T5	228541	228792	251	6.68862078945182	1.65298744879962	31.5693752737613	16.3732177200409	31.5693752737613	1.41939959873335	83	4.06591706794915	82	1
5	T5-O1	15376	15427	51	2.39515432862776	1.26653883884007	8.19187138696241	3.57626736394879	9.71314894328489	0.511817497814368	170	0.97431635252722	169	0
5	T5-O1	127676	127787	111	3.26798487528349	1.36477995702198	12.9857476103964	5.73369786211162	12.9857476103964	0.245940241199651	240	0.44748493079043	300	0
6	Fp2-F8	134178	134256	78	4.09797202521411	1.42162988334464	15.4415304426056	8.30930864258635	15.4415304426056	0.654864982947407	129	0.792793108518711	128	0
6	Fp2-F8	326450	326527	77	3.01253381425349	1.34580744416606	12.0129141172267	5.01069546323143	12.0129141172267	0.426020169245379	87	0.505731156186723	115	0
7	F8-T4	7608	7781	173	4.24188348022007	1.06054351231967	20.5686528203458	15.9978082249042	20.5686528203458	0.399788036523907	105	0.375396249006515	104	0
7	F8-T4	98472	98545	73	2.57989940749927	1.25170153996396	8.56603868061324	4.24819039294179	11.3078082943147	0.362043344307638	83	0.406572890197625	104	0
7	F8-T4	119358	119585	227	4.14082769787473	1.12723484352801	18.8533602188295	13.4941492734661	18.8533602188295	0.402971502885501	111	2.63263993941991	110	0
7	F8-T4	127534	127701	167	4.86941391442308	1.28326946102325	20.3627406685772	14.3985137860357	20.3627406685772	0.347988021749291	110	0.391523829410738	110	0
7	F8-T4	238074	238149	75	3.61184253431507	1.25023365600909	12.2303926187815	8.34593973735173	12.2303926187815	0.348149504059508	92	0.499581795334478	112	0
7	F8-T4	485084	485188	104	3.07762163332279	1.23945086310641	11.0186910534166	6.16554999445589	11.0186910534166	0.207119588777163	89	0.441008706344765	104	0
7	F8-T4	573683	573934	251	3.77345038252491	1.26344107570179	16.390084848068	8.9200502990803	16.390084848068	0.441437064865436	101	0.453018752042198	100	0
8	T4-T6	7701	7767	66	3.51835454531335	1.293107097244	13.310414130528	7.40304197533983	13.310414130528	0.237861744916116	NaN	2.13799138795207	300	0
8	T4-T6	22920	23090	170	3.83569012193003	1.24137138278538	14.7444874243221	9.547365949806	14.7444874243221	0.296979305721529	NaN	2.51803165466356	300	0
8	T4-T6	47816	47897	81	2.82792995356728	1.20513067340516	9.64650639294252	5.50641595822416	9.71938766204434	0.239971388191918	107	1.81214786894038	106	1
8	T4-T6	119372	119466	94	3.50873376253245	1.30983500785849	12.1501158017517	7.17575569747594	12.1501158017517	0.450367016205765	85	0.561558471226907	104	0
8	T4-T6	124016	124086	70	4.69902534468602	1.24281242052788	19.5920159585763	14.2956664020731	19.5920159585763	1.99498703764109	83	2.4924971873959	82	0
8	T4-T6	248680	248761	81	2.72861714307765	1.40090952375631	8.94625251733261	3.79371787801504	11.4004045981453	0.218430218013795	75	0.374002457040152	108	0
8	T4-T6	315170	315340	170	3.90474210556275	1.22330573407644	20.9836474197633	10.1886041255456	20.9836474197633	1.06031720284388	83	1.66432773938434	82	0
8	T4-T6	326435	326525	90	3.25490443220446	1.38445433367504	12.4732902919445	5.52737860579646	12.4732902919445	0.571017151372455	93	0.319111665671356	92	0
8	T4-T6	463149	463268	119	4.36911337084253	1.41210551134542	17.9231756188363	9.57309419006952	17.9231756188363	0.352409958120567	97	0.378912695472401	98	0
