nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
2	Fp1-F7	291043	291233	190	5.7567820055611	2.151986498887	34.1347862258555	10.7675722354449	34.1347862258555	1.56016879415621	186	2.24769386298275	185	1
2	Fp1-F7	291467	291841	374	3.34712071429266	2.64040400420501	20.9753976512303	2.80977624311225	34.1347862258555	0.694652738978121	124	1.1793551916578	198	0
2	Fp1-F7	292215	292255	40	3.70959681238557	2.49197765176311	15.6655923094943	2.90594643293309	20.9753976512303	0.0905778482438217	140	1.71505320811151	211	0
2	Fp1-F7	292851	292922	71	3.14366057169843	2.04720409767633	10.4814618522627	2.4763756326222	16.3644658513469	0.561292293454252	188	1.84266828021411	187	0
3	F7-T3	276965	277091	126	3.83063217842331	1.39735233354019	15.0062794087197	7.51500123058619	15.0062794087197	0.451675485383309	97	0.475805571955136	108	0
3	F7-T3	291013	291269	256	14.9001291409255	2.90286303113937	111.34394877588	44.3247675163409	111.34394877588	2.80768242175683	136	2.88223402755481	139	0
3	F7-T3	291413	291741	328	4.83300758896139	6.01279742684273	29.4264166462982	3.00014551999082	111.34394877588	1.59519518205679	98	1.60125210133115	117	0
3	F7-T3	292207	292482	275	3.72438944334508	3.80382031496502	20.2087626471446	1.14704132672363	29.4264166462982	1.03068922151588	128	1.04383929202339	144	0
3	F7-T3	292823	292922	99	4.12182794529594	3.54649496268084	18.6578106468902	1.39555578897736	26.0394968871824	1.33748407901593	144	1.44304033435137	143	0
3	F7-T3	293184	293251	67	4.14219345982184	3.51782960593166	17.6850895050689	1.44648160935518	26.0394968871824	0.918704762205639	109	1.26186582654201	108	0
3	F7-T3	293988	294031	43	2.84606496638181	3.3369139926765	11.6082516436726	0.748232824057406	26.0394968871824	1.32881498696548	85	1.07401020489981	84	0
3	F7-T3	294118	294178	60	3.72963962383931	3.27964820760502	18.8172137319015	1.31384313034239	26.1673547058574	1.20613433139031	97	1.18716378378583	96	0
4	T3-T5	276973	277076	103	3.62597783989808	1.38906418990438	13.9910057148001	6.81405540500129	14.7498810513802	0.525116240368897	97	0.663301560992801	106	0
4	T3-T5	291064	291185	121	16.5768299823736	2.25744386723159	93.2036087405503	53.9223792040974	93.2036087405503	3.20483829591829	143	6.40191705923152	142	0
7	F8-T4	276746	276854	108	5.00654408466348	1.80263217980132	20.9218507039283	7.71368411596657	21.7719212875054	0.669192782837297	117	0.749473031931974	116	0
7	F8-T4	286126	286473	347	8.21753462008629	5.55994176173609	53.3580784071303	2.43423393109629	53.3580784071303	2.5775065109969	83	2.28212536261609	82	0
7	F8-T4	286634	286710	76	9.48926769448273	7.73658774328674	39.1917358688434	1.84443064430575	62.6469315019947	1.34774994492524	186	3.81760235928499	196	0
7	F8-T4	286790	286891	101	6.5500651616306	8.35871220042051	29.3920663115455	0.784934745227432	71.6429473430734	1.22290842994022	97	1.35634696289672	106	0
7	F8-T4	287583	288335	752	9.54922212683078	7.66498222119051	65.0925914005303	1.43320241128556	71.6429473430734	2.88848687290909	82	2.89578590018885	82	0
7	F8-T4	288507	289112	605	6.90454862784431	7.35731229028953	47.9060067307812	1.63968359420641	71.6429473430734	1.8700235975595	104	1.89838714240559	103	0
