nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	198191	198277	86	5.48773063673259	1.92974291468775	19.2110554825816	8.08698545497587	19.2110554825816	0.496187279935912	85	0.613231508131391	96	1
1	Fp1-Fp2	246813	246897	84	7.27764516067771	2.09425629696044	33.6965902544777	12.075971891621	33.6965902544777	2.44290734912007	61	3.06377589342049	85	1
1	Fp1-Fp2	295645	295706	61	6.05463972308219	2.17373965359233	22.2692003753282	7.75821044676248	22.2692003753282	1.34056445032548	100	1.44085088231827	99	1
1	Fp1-Fp2	568555	568603	48	6.47734707282952	2.15758785204218	22.9300111048311	9.01275073795069	22.9300111048311	1.22827466080798	183	2.72225872704769	182	1
2	Fp1-F7	198178	198275	97	6.53485986043243	1.89973958084445	24.4254621775681	11.8327152805427	24.4254621775681	0.442835960955478	241	0.524191360109791	300	1
2	Fp1-F7	233574	233764	190	17.4980109857156	1.92817676740399	127.008583476426	82.353806613824	127.008583476426	2.86399909137514	134	7.10700665353996	133	0
2	Fp1-F7	246824	246898	74	15.9229527623508	1.98879936631959	78.6066041239523	64.1010683157629	78.6066041239523	0.88860184234154	NaN	9.21799581562743	300	0
2	Fp1-F7	568575	568704	129	16.0574361685085	3.38215760403086	82.2262794549027	22.5405612721943	85.3030026470752	3.26476550781674	83	1.35451128952821	82	0
3	F7-T3	166892	166985	93	10.963870963886	2.59190378845365	45.7836693107275	17.8932849552603	45.7836693107275	2.99544139112566	184	5.87554112470397	183	0
3	F7-T3	233572	233715	143	29.619389395337	1.94881161794916	205.702519409043	231.000267337451	205.702519409043	4.42044889012969	130	11.9656399592479	129	0
3	F7-T3	568139	568328	189	16.0847020470999	8.67993669307823	107.204658689068	56.8990486565894	179.466578407454	2.33031414125937	99	2.25542865585241	98	0
3	F7-T3	568514	568833	319	21.1426487604222	5.68406485848462	179.466578407454	52.3316488199285	179.466578407454	2.86413504167577	83	1.17166147828694	82	0
3	F7-T3	573074	573153	79	8.52830795620427	2.43522790167885	36.7664560303887	12.2644062124922	36.7664560303887	0.739892288180986	NaN	6.54399950194289	300	1
4	T3-T5	167202	167269	67	7.56055445733866	2.51072416494136	33.2405641387494	9.06795354722765	42.7367702343723	2.17700020058699	115	1.53384253277384	114	1
4	T3-T5	233607	233662	55	15.3831324308974	2.03818680337391	72.0557370769999	56.9641454892063	72.0557370769999	4.16097656264722	111	4.18992262021075	125	0
4	T3-T5	568198	568307	109	10.6598598901969	4.32060425600193	50.2235879848318	35.0082529093236	96.0040209625315	1.20011989511079	108	1.48960162747108	107	0
4	T3-T5	568581	568721	140	14.8994621327989	3.09418576595631	96.0040209625315	63.1083623084192	96.0040209625315	2.69993589192518	83	6.4998224220309	82	0
5	T5-O1	217842	217884	42	3.51597274492822	1.74062021339139	11.5870418895456	4.08021412128438	13.1658470039932	0.224748566299315	152	1.96396369803428	205	1
6	Fp2-F8	6604	6679	75	10.1174273591648	3.48729485864251	49.0706857226606	18.4102219650766	63.5645522856757	1.98846212609424	127	2.22926585449399	126	0
6	Fp2-F8	7014	7088	74	6.11227447375656	3.83309876654496	26.0735954445636	6.65967773629182	63.5645522856757	1.05256094875544	104	4.01340455749129	103	1
6	Fp2-F8	7206	7304	98	10.715677847123	3.22338564302649	63.5645522856757	20.8172268511929	63.5645522856757	3.38387591064514	88	3.4059828323647	87	0
6	Fp2-F8	48887	48953	66	11.8070837676655	2.00385466993148	59.9507580790496	34.7178519505388	59.9507580790496	2.83316202771504	116	4.71854880710312	115	0
6	Fp2-F8	246813	246914	101	16.2552346798087	2.04399771412734	90.2960332740266	63.2449241675415	90.2960332740266	0.944133225325388	NaN	7.78775149042073	300	0
6	Fp2-F8	295624	295685	61	10.8954079172242	2.13337098053097	47.441601846055	26.0828006872207	47.441601846055	3.15842385071454	86	5.38177466525736	85	0
6	Fp2-F8	398727	398787	60	10.2000254409201	2.01793653688783	43.6902469205356	25.5497998549926	43.6902469205356	1.03870000149283	298	1.08028294053833	300	0
6	Fp2-F8	408637	408706	69	19.2139551382674	2.16151180093589	109.457701067092	79.0165971451845	109.457701067092	5.2489416938189	107	6.87957343464619	106	0
