nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	74045	74088	43	2.03999960531947	1.05641685252062	6.87826163518145	3.72897546094651	7.63866477110656	0.471439208551394	180	1.16523055792177	179	0
1	Fp1-Fp2	345508	345560	52	2.00261507459135	1.08742831909553	6.35033681241647	3.39151454779047	8.08826110540294	0.292676423365453	187	1.15610275289467	186	0
4	T3-T5	64883	64966	83	3.33535056556067	1.1653939626599	12.1560590788575	8.19100983674395	12.1560590788575	0.342972380936816	95	0.530113192544398	94	1
4	T3-T5	111652	111710	58	3.23543475133982	1.24171438516517	11.9349118109176	6.78925103113731	11.9349118109176	0.197355025427443	112	0.540768043587547	112	1
4	T3-T5	172075	172161	86	2.72384277770235	1.13780372834955	9.54674923320303	5.73098626011892	9.54674923320303	0.216292354986782	114	1.71960179377193	113	1
4	T3-T5	225936	226006	70	3.62333424152132	1.23079165616807	12.4420731801026	8.66657918905677	12.4420731801026	0.397330112526899	123	1.93104273837913	122	1
4	T3-T5	248060	248122	62	3.59762169693984	1.13492413782293	13.6055651014495	10.0484094194184	13.6055651014495	0.388408918997057	132	0.361142370620451	131	1
4	T3-T5	534691	534762	71	4.13999871840562	1.2764696755109	14.3106340379373	10.5191200002237	14.3106340379373	0.597201425839057	130	0.677621459567534	129	1
5	T5-O1	221957	222035	78	3.1327804400618	1.17426051687245	11.4182790127567	7.11755775905952	12.143357941996	0.506091518057572	132	1.66476909843855	131	1
5	T5-O1	366360	366419	59	2.30743571892864	1.09050891035081	7.34929803849949	4.47714113887271	7.7340711340764	0.382859217814468	104	0.441580383044266	131	1
5	T5-O1	534689	534757	68	2.74023140552542	1.10747225125764	10.4934180014454	6.12221774894221	10.4934180014454	0.350301980669361	125	1.51599900694336	124	1
5	T5-O1	566668	566722	54	2.50666880513551	1.14462872282941	8.28558848653857	4.79583942242284	8.28558848653857	0.350950315940945	85	0.633724341286424	115	1
6	Fp2-F8	379691	379740	49	2.59512212050854	1.30423063731922	8.64860624135873	3.9591941889615	9.17022973936267	0.656660499394971	164	0.712119333618477	187	0
7	F8-T4	293426	293506	80	10.7819462394494	1.47994521249295	64.4713499431101	53.0765942460424	64.4713499431101	3.13590653442835	83	3.40812659599891	82	0
8	T4-T6	146864	146926	62	4.3283251316831	1.22733402268318	21.1805186586843	12.4369590929522	21.1805186586843	1.15405118761684	83	1.98208520846029	82	1
8	T4-T6	293427	293511	84	10.6031279651746	1.28528088785499	64.1175165898956	68.0568597669911	64.1175165898956	1.14626444792906	NaN	5.8249778745033	300	0
8	T4-T6	374109	374155	46	2.46871698269261	1.21095768174597	8.40367745888228	4.15608744135943	8.73586731434369	0.425385736979447	183	1.00299436052797	204	1
8	T4-T6	591943	592040	97	6.29543872078033	1.26950934729749	38.3736594156937	24.5912268441041	38.3736594156937	1.52327661615295	83	2.87749964920594	82	1
8	T4-T6	597820	597874	54	7.59808522872655	1.27330654394853	37.3739711694142	35.6075735012252	37.3739711694142	1.20751200972423	NaN	5.9472036179789	300	0
12	C3-P3	350895	351120	225	17.5733903032484	1.39473538812923	167.900381983228	158.755020745483	167.900381983228	1.18962020309267	NaN	9.25746390275224	300	0
12	C3-P3	370293	370369	76	3.35413545584529	1.20991051496574	12.143991054953	7.68519148412472	12.1770586553335	0.466123468519769	95	0.57790132272308	105	1
12	C3-P3	599955	600002	47	18.9415010914573	1.63356319745121	83.7213621328531	134.44879228756	83.7213621328531	2.41273014226691	83	1.88570982086404	82	0
13	P3-O1	35392	35455	63	2.95146134663696	1.18063055496319	10.3240006352466	6.2495128089451	10.3240006352466	0.291307527533879	129	1.60979353771893	128	1
13	P3-O1	300603	300678	75	3.38110609479068	1.47923073413451	12.4884157521232	5.22451227530797	12.4884157521232	0.285657950572999	NaN	2.33342133384733	300	1
13	P3-O1	350906	351123	217	17.8675475046417	1.41279448757704	166.17929434043	159.945456377765	166.17929434043	1.20689936099038	NaN	9.55274160468328	300	0
13	P3-O1	599942	600002	60	10.0666423882477	1.55940249659916	49.8481759359991	41.6728143482588	49.8481759359991	1.17481045719131	89	1.08207042880503	88	0
14	Fp2-F4	430276	430320	44	2.20168839045425	1.22588146499552	6.56746434803656	3.2256314691534	7.85423743788163	0.0885208822949621	150	1.14416384270671	194	0
16	C4-P4	133613	133658	45	2.29724487894851	1.26368743509484	7.30289321988707	3.30472441911677	8.11070924805058	0.248706916178085	171	1.35680356609455	170	0
16	C4-P4	325667	325796	129	9.72906890627331	1.3209334073614	55.9625853347532	54.2476226903504	55.9625853347532	1.79924510940846	83	1.14530081163079	82	0
17	P4-O2	325668	325793	125	9.75163386696972	1.30172592139353	54.4583951834219	56.1197422602894	54.4583951834219	1.93659374118651	83	1.08022599174487	82	0
24	F8-F4	329767	329810	43	2.38866298726285	1.5040400440394	7.30926545420564	2.52226644261164	9.1187021703508	0.08860790914382	171	1.34110824152129	197	0
26	T3-C3	379528	379574	46	2.36152594983027	1.03857799703758	8.54354427410863	5.17019840513627	8.66566028131005	0.637764094392805	185	0.868043030832659	184	1
28	T4-C4	46068	46124	56	2.08480044377632	1.25352799976733	6.20196626474718	2.76605558605949	7.67937668013436	0.253254282504158	153	1.03407493959099	152	0
28	T4-C4	293390	293506	116	9.03761935203818	1.22693271914911	62.3428400124383	54.2583515506263	62.3428400124383	2.47998459172369	83	2.60343153432027	82	0
28	T4-C4	591955	592036	81	6.42458962891167	1.30370941216838	36.2421034081418	24.284500929633	36.2421034081418	0.817162324967484	NaN	4.44699754502985	300	1
30	T5-P3	121970	122059	89	2.75493025237363	1.26687776644534	9.94302773898894	4.72880915855226	9.94302773898894	0.470844534284723	83	0.474567369487176	91	1
30	T5-P3	350913	351120	207	18.3732626089822	1.42000450929138	167.758307971005	167.414518409056	167.758307971005	1.30364768277501	NaN	9.90704493069287	300	0
30	T5-P3	405404	405462	58	2.5498854395873	1.18579166934932	8.70836433027665	4.62407157914674	8.70836433027665	0.699022480336775	104	1.07001490762717	103	1
30	T5-P3	442891	442984	93	3.70286650106892	1.31294235765508	16.2260379312176	7.95398541593269	16.2260379312176	0.36234587343593	131	2.17446028457869	130	1
30	T5-P3	534682	534760	78	3.9659206089262	1.23298935709064	14.7243409208563	10.3459262076192	14.7243409208563	0.33671925041308	252	0.421687195145271	300	1
31	P3-Pz	300602	300678	76	3.53277803119892	1.24435272581632	11.8485015552139	8.06019771549018	11.8485015552139	0.503197774890961	84	0.539891186629731	107	1
31	P3-Pz	350894	351118	224	17.869976455982	1.42874307870318	169.115754383415	156.437073002913	169.115754383415	1.25651165017305	NaN	9.40970811776915	300	0
31	P3-Pz	599935	600002	67	12.3725323337763	1.58205967464286	63.679551707048	61.1605627995012	63.679551707048	0.773936818873603	107	0.849711322718185	144	0
32	T6-P4	209452	209506	54	3.24016734566033	1.0893818015078	13.7178918274246	8.84656453212783	13.7178918274246	0.627551029760982	155	1.59106131323418	154	1
32	T6-P4	325689	325785	96	10.7428964422522	1.25072865923936	54.7754581360765	73.7762498768524	54.7754581360765	2.32448380018945	83	1.319297199248	82	0
33	P4-Pz	325664	325798	134	9.63363706852831	1.1698188884258	56.1590049900247	67.8177384576324	56.1590049900247	1.76089732079597	83	1.04731688285719	82	0
34	Pz-O1	259805	259854	49	2.45549599234313	1.20238428482388	7.94072961213364	4.1705360207714	8.78657962091589	0.962530923967804	83	1.12037050925934	82	1
