nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	160454	160541	87	2.81032112471561	1.32525841450146	10.1430607305202	4.49687437307212	10.1430607305202	0.217817599184905	NaN	1.64350355760967	300	0
1	Fp1-Fp2	415169	415236	67	2.79038483444347	1.41624748550185	10.8522884155704	3.88194968606383	12.4315434121193	0.366291270675432	118	0.606163116499387	117	0
4	T3-T5	218887	218951	64	3.45362243642214	1.18327406001557	11.3922873465287	8.51881184807843	11.3922873465287	0.490216361210078	125	0.520429994404502	124	1
4	T3-T5	312086	312170	84	6.84183867632868	1.25833415863918	28.4934081849933	29.5633528791181	28.4934081849933	0.335587531814565	128	0.262005559126476	127	1
4	T3-T5	335678	335739	61	2.50826881571832	1.15685397423686	7.69734540336069	4.70100888250971	8.4199014137131	0.260100203320405	107	0.304329623149012	124	1
4	T3-T5	388042	388123	81	4.21073712868848	1.31257505731287	15.9065256565438	10.2912461331602	15.9065256565438	0.565843382381015	120	2.31947027444231	119	1
4	T3-T5	392170	392283	113	3.74027815402893	1.57184303263916	13.9195062226466	5.66225537373954	14.2324044339981	0.364626765897	110	0.467283033942962	109	1
4	T3-T5	493145	493243	98	2.99258214559563	1.67045623605344	11.1212947306059	3.20938602189885	12.7972716403748	0.256992705322568	95	0.307179156572407	107	0
4	T3-T5	523840	524027	187	3.5067690434353	1.63454334118628	13.576654115886	6.21457982083291	14.7253074451132	0.270292919183645	86	0.346493248864927	108	1
4	T3-T5	524266	524379	113	3.75971423820306	1.75250927760502	13.7453571966334	6.6864278565523	14.7253074451132	0.417989885659351	88	0.500381764000599	113	1
4	T3-T5	565825	565972	147	4.07411237961284	1.58704889017131	14.0538781217393	6.58999973672077	14.0538781217393	0.300886076530348	106	0.463071745371175	107	1
5	T5-O1	13993	14056	63	2.28915958884455	1.21200921854807	7.42519899386966	3.56730543080125	8.33365917535494	0.491740465776436	154	1.05661959119966	153	0
5	T5-O1	172712	172769	57	3.03534707544201	1.36856572976626	10.5731355472337	4.91909708079877	10.6944572708576	0.267763980375033	110	0.495902271809119	116	1
8	T4-T6	432549	432612	63	7.4159098567435	1.4162256853633	34.7725042429114	27.4197790501362	34.7725042429114	1.77626908331399	83	1.54467921099	82	0
8	T4-T6	455429	455488	59	6.99641150858228	1.41979308234649	35.1352379026157	24.2829015626988	35.1352379026157	0.856297354251846	NaN	5.55489719054723	300	1
10	Fp1-F3	155470	155591	121	2.83276214542323	0.992359464831054	10.9129214185205	8.14858477334843	10.9129214185205	0.226064291117365	NaN	1.81389321573584	300	1
11	F3-C3	155489	155565	76	3.19758077639264	1.13881510895183	11.6072303226235	7.88381832476588	11.6072303226235	0.279253992599302	240	0.479155414550902	300	1
11	F3-C3	160763	160835	72	2.37821710165753	1.15209461005718	7.75676938117119	4.26114885687126	8.59963594369466	0.243138393756868	103	0.292142286575196	111	1
