nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	599954	600002	48	8.41503662881349	1.00588142968741	37.8499937935336	69.9871712692909	37.8499937935336	1.19771294885138	83	1.22462859631749	82	0
2	Fp1-F7	189185	189232	47	1.9138951148127	0.982244257513081	6.1213333144172	3.79662122086886	7.36663351948866	0.370835483021358	176	0.372792581199957	175	0
2	Fp1-F7	371733	371781	48	1.86108059445981	0.935387678076582	6.29249110808614	3.95864969468313	6.29249110808614	0.410913717481662	179	0.412313721271546	178	0
2	Fp1-F7	505323	505378	55	2.35022059070489	0.978842589016528	8.50782781662685	5.76489683251244	8.50782781662685	0.40219669157168	88	0.273872336727557	87	1
3	F7-T3	31096	31145	49	1.76619498339504	1.03622322842537	5.87811254693364	2.90516395398881	6.8634687396498	0.187043181721328	168	1.04848747597902	167	0
3	F7-T3	216399	216465	66	3.52069802465374	1.05739452284777	13.8925023225105	11.0862186609683	13.8925023225105	0.758073941861066	66	1.0864271418725	96	0
6	Fp2-F8	118839	118887	48	1.65363033074513	0.869673854283691	5.04671609929366	3.61546391679162	5.67892412528869	0.302186022699247	164	0.891471773101082	163	0
8	T4-T6	83795	83845	50	1.56297633277796	0.982346152297047	5.13195238205826	2.53148703078862	7.45432438801538	0.314330270747183	172	0.836717394560807	177	0
8	T4-T6	129086	129141	55	1.59089413436205	1.06790993589221	4.98376393085762	2.21928616986427	6.76230323044678	0.237451628402126	177	0.892557647658314	178	0
8	T4-T6	275559	275602	43	2.58711541427078	1.06306059232685	9.6933895515527	5.92264318254897	10.0697833114346	0.321288673932253	186	1.32085834839234	249	1
8	T4-T6	515605	515646	41	1.90890836592421	1.01106619550143	6.44547210117931	3.56460147240824	7.02506073901438	0.522081142203524	138	0.576570498979083	161	0
10	Fp1-F3	149330	149411	81	2.49823801868412	1.03932917983829	9.43220007809741	5.77778511081861	9.43220007809741	0.176848713239022	NaN	2.05462094671002	300	0
10	Fp1-F3	216380	216474	94	3.76906041978037	0.913095599484832	15.2899219937607	17.0385918337371	15.2899219937607	0.205772463996789	NaN	3.33040419456328	300	0
10	Fp1-F3	275225	275308	83	2.59972201183843	0.980278307041782	8.68390371705659	7.03323354141421	8.68390371705659	0.204317567863202	91	0.319180133209441	90	1
11	F3-C3	85334	85407	73	3.97990788772127	1.07945209807965	17.3409834825018	13.593750415447	17.3409834825018	0.78427601480016	83	0.788646715327984	82	1
11	F3-C3	149331	149417	86	7.14560205345991	1.90169785680525	33.4385963779415	14.1186970105677	33.4385963779415	0.219749733558139	NaN	5.58534508741613	300	0
11	F3-C3	216321	216543	222	7.25419602923711	1.09113089603307	46.5413100034464	44.2002644823954	46.5413100034464	1.11185867884967	94	1.12620680341872	93	0
11	F3-C3	221123	221188	65	2.61846899987012	1.05802638384018	11.0376249465388	6.12494055068369	11.0376249465388	0.718911798258512	75	0.859202153641015	82	1
11	F3-C3	285775	285881	106	6.0145468697541	1.05395213872612	31.9527083579421	32.5659722299299	31.9527083579421	0.384048222621787	NaN	6.81446533009941	300	0
11	F3-C3	437124	437209	85	2.65400590667191	1.05927478816584	9.11133665339316	6.277496780718	9.23949156516154	0.179092030536522	227	0.22167737257955	300	1
11	F3-C3	470168	470249	81	4.38398277287039	1.00740777440241	18.4424231334154	18.9376934234295	18.4424231334154	0.241541829538951	NaN	5.49666519815756	300	1
11	F3-C3	505320	505390	70	6.57949936140529	1.30631394072981	28.5526197906411	25.3682538617791	28.5526197906411	0.394008172588229	NaN	7.08529904145008	300	1
11	F3-C3	545466	545548	82	5.82214845991032	1.39316699433756	25.2823741881964	20.5175051499936	25.2823741881964	0.30830975752206	NaN	5.32223475313283	300	1
11	F3-C3	545673	545752	79	2.97858008567662	1.7154428843099	12.3422762758586	5.53629208293616	25.2823741881964	0.491408705186262	75	0.577880364921635	82	1
11	F3-C3	573006	573090	84	2.80625324876613	1.00152095849647	9.55020316051605	7.85115656743749	9.55020316051605	0.201028387530205	83	0.337121717963199	82	1
12	C3-P3	216357	216494	137	4.52728606510895	0.933023961170423	26.0782301107839	23.5445438011342	26.0782301107839	0.403984394151301	NaN	4.46417610702755	300	0
