nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
5	T5-O1	63119	63172	53	4.25082572886908	1.95969135563016	14.3388683207385	4.70512588364307	14.4934388495388	0.829446811317034	168	2.25519482087725	167	1
9	T6-O2	217309	217354	45	4.63634034405041	2.65304150463022	16.6516997345479	3.05395427118581	19.1705799257129	0.415767101595032	135	2.39120340039474	202	0
9	T6-O2	498697	498737	40	5.03043119241352	2.36517575107263	16.3697059736475	4.52359369894768	17.9449797803306	0.302373703445795	128	2.78742418579546	202	1
10	Fp1-F3	552844	552887	43	3.82614337911749	1.99264923383152	11.4847270686317	3.68689498813393	14.8702933179869	0.705240129103175	172	2.03550052641446	181	0
11	F3-C3	97693	97735	42	3.79428234107027	1.94048239626199	11.8135614462799	3.8233131863986	13.4513053250851	1.07619380625929	166	2.00879767516034	186	0
12	C3-P3	104567	104608	41	3.81035982139081	2.27434491277191	11.3165578268964	2.80685076583779	14.9044203081176	0.14105365072927	180	2.32801994409937	230	0
14	Fp2-F4	90574	90621	47	4.04415927962325	2.36274221930484	13.6294131709089	2.92970451678588	14.2709004503764	0.817068327359594	179	2.3844912154326	182	0
14	Fp2-F4	489348	489397	49	4.32431546756507	2.52263503016749	14.2365436403711	2.93850134477171	17.1407875076999	0.884594143543598	172	2.44056576839755	175	0
14	Fp2-F4	496813	496866	53	4.34420456918263	2.50710876142831	14.8067570410634	3.00243896013364	16.1037471005016	0.948786924867223	154	1.02765416363039	175	0
14	Fp2-F4	556389	556430	41	3.95777377337839	2.65420063819099	11.8743460966254	2.22348617785108	24.1455062608369	0.918396677287178	172	2.02028301609832	171	0
26	T3-C3	536952	536993	41	3.72814774892509	1.96423921137186	11.6101256264525	3.60244598630891	12.7603787955327	0.213973701876589	141	2.29598497142963	199	0
31	P3-Pz	593479	593526	47	3.26933226241159	1.95638963050835	10.1639268099164	2.79259152625971	14.8873477794953	0.245677269229799	124	1.90448054638049	192	0
32	T6-P4	291430	291471	41	4.42517284511132	2.43122255018349	14.5740479951181	3.31292074850381	18.8614857140554	0.392697871490777	167	2.35516096670316	197	0
39	F8-C4	140214	140273	59	4.05253626755384	1.80060887681309	14.676974704835	5.06541517039741	14.7449527884922	1.04862999250605	177	2.07481468465326	176	1
41	T5-C3	133668	133708	40	3.49385088916189	2.12516314066697	10.4161544429184	2.70286393110745	13.8076621305833	0.148609412247175	136	1.94392024293874	205	0
41	T5-C3	582687	582727	40	4.16252183388404	2.1755849270113	13.7863878163443	3.66067325757056	14.421613708219	0.276174136214064	141	2.21715144961644	197	0
42	C3-Pz	20904	20955	51	4.01213859559622	1.89737603527875	14.5661765804947	4.47141554097813	14.5661765804947	0.957970617201084	174	1.84099447083653	173	1
42	C3-Pz	587525	587566	41	3.957801207562	1.96750950213316	12.7761263217169	4.04645091318336	13.723029428124	0.882691960925383	188	1.86146682047462	187	1
47	T4-P4	438643	438685	42	3.99946835379776	2.06411876465916	12.7590460098694	3.75435352836829	14.4731142273933	0.318984526753901	107	1.70373845983047	207	0
48	P4-Cz	374251	374292	41	3.94465880186071	2.16637031928343	11.5549441193782	3.31553406843204	14.4532458628722	0.709268586130515	175	2.17447678189525	179	0
48	P4-Cz	388153	388196	43	3.55736978205819	2.24302555972328	11.4350358360769	2.51529876934014	14.8145254454614	0.779397074778652	177	1.96647199805831	187	0
51	T4-F4	417674	417714	40	3.82666329340499	2.07218888930617	12.2340452955559	3.41021546442504	13.7182432895232	0.151686107884515	130	1.86067264293485	197	0
52	F4-Cz	409834	409878	44	3.35619123344137	1.98413492001585	10.9280770397678	2.8612183135456	15.6395978733958	0.64715832827598	148	0.755971532943707	169	0
