nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	30288	30533	245	11.1280758529256	1.48232294882098	66.1101474459544	56.3578595066494	66.1101474459544	1.78146894599281	104	3.72055871680009	103	0
1	Fp1-Fp2	53434	53575	141	7.06418734781677	1.65910063576545	39.4085338110257	18.1292132545569	39.4085338110257	0.685041304539152	122	1.0449479866438	137	0
1	Fp1-Fp2	120833	120886	53	4.14050235966555	1.8914156398191	17.401313428463	4.79216895458994	19.267410320883	0.980403637427818	98	2.02148821184772	97	1
1	Fp1-Fp2	122390	122632	242	11.564377988323	1.40472692870356	65.9862010024443	67.7736289890194	65.9862010024443	2.4224847268292	121	2.43582257589445	120	0
1	Fp1-Fp2	343895	343963	68	3.91398254367395	1.48056331252209	17.9630330738825	6.98849729674734	17.9972946928384	0.628200999544205	88	0.854339161079723	118	1
1	Fp1-Fp2	355223	355335	112	9.07954306868905	2.49256793998594	45.2905773413061	13.2688711450525	45.2905773413061	1.485996670952	166	4.54009365950852	165	0
1	Fp1-Fp2	356414	356856	442	17.0754937731008	1.85592439984808	126.617087022897	84.6498083446246	126.617087022897	3.3605167800575	105	1.9264545996633	104	0
1	Fp1-Fp2	572087	572226	139	12.5851417561755	1.62648014486942	71.2525895413299	59.8713004350209	71.2525895413299	3.29154116748756	112	4.90677716901642	111	0
1	Fp1-Fp2	580573	580757	184	11.4658653892661	1.86380177456665	49.4737847673233	37.8454989937094	49.4737847673233	2.52344682359235	95	2.03538213496593	94	0
1	Fp1-Fp2	582613	583111	498	20.0319423235068	1.64341673048913	170.210859936607	148.57670214263	170.210859936607	4.06194868894135	129	8.33034814466002	128	0
2	Fp1-F7	30302	30533	231	11.1651117219959	1.35722389908888	63.6336898399066	67.6742029358269	63.6336898399066	1.77455335183632	105	3.71954517558044	104	0
2	Fp1-F7	53417	53568	151	6.98136424767819	1.36209972594564	41.9917606378845	26.2701640048054	41.9917606378845	1.11563123678614	108	0.699872537222472	107	0
2	Fp1-F7	120678	120756	78	3.99875236506244	1.57134291295331	13.7197233521265	6.47600354244586	15.2064541362121	0.457144570942911	110	0.530165492939643	120	1
2	Fp1-F7	122349	122600	251	10.8745781903094	1.30939914693844	62.983039169351	68.9732568221814	62.983039169351	2.21002746254825	111	2.18962473272056	110	0
2	Fp1-F7	355161	355331	170	9.04559015492834	1.87166287005564	43.7714960967983	23.3570808001026	43.7714960967983	1.99380911583723	159	3.66481765108797	158	0
2	Fp1-F7	356415	356805	390	18.8977479500723	1.86177577463617	131.945946005934	103.030392563207	131.945946005934	3.84471243207664	105	2.07707337284611	104	0
2	Fp1-F7	572098	572227	129	14.6967564601009	1.611147196106	79.9123855683196	83.2094316088608	79.9123855683196	3.19251496778913	137	5.79429692645267	136	0
2	Fp1-F7	580561	580780	219	10.570653202987	1.77449531810798	53.1253363567921	55.6565032164225	53.1253363567921	1.66880484234405	103	1.6807532902683	102	0
2	Fp1-F7	581111	581167	56	6.48453727037012	3.76624615950243	26.1551487420711	19.7659000902358	53.1253363567921	1.32919849464622	113	1.36527286982626	112	1
2	Fp1-F7	582612	583127	515	17.9210851160609	1.61637624849449	133.422585252199	122.925981530186	133.422585252199	4.19411451219803	92	7.11159663259281	91	0
3	F7-T3	14038	14094	56	2.89675747098435	1.23830098067219	9.43745128732372	5.4723244404971	11.0315592501404	0.345501925462099	111	0.393381906134954	129	1
3	F7-T3	107632	107716	84	3.67070704457171	1.35198198559409	14.0314253610794	7.37153005788856	14.0314253610794	0.389081533860951	108	0.422829617081913	119	1
3	F7-T3	109592	109666	74	3.65007965935422	1.30552953733068	13.655584456315	7.81684105098021	13.655584456315	0.403215943305604	116	0.504888955035923	115	1
3	F7-T3	173771	173836	65	2.85061307510174	1.24115134195616	9.30738149804956	5.27505586394917	9.3949703046001	0.3383286514525	114	1.57040146645381	113	1
3	F7-T3	206533	206640	107	3.48035922006484	1.28413639687091	13.8943244908306	7.3455755779879	13.8943244908306	0.385739505432915	100	0.394480713714952	116	1
3	F7-T3	355151	355259	108	4.95815219509184	1.32352562228456	22.9495569798187	14.0337908840569	22.9495569798187	0.77630094751256	116	0.81881632353025	115	1
3	F7-T3	391473	391557	84	3.12087324970049	1.25898607399998	12.4533727744529	6.14483759021755	12.4533727744529	0.453113311138246	129	1.91421791086952	128	1
4	T3-T5	40624	40686	62	2.65613327904145	1.45940953462428	9.67751649251152	3.31241976879984	9.85401492624094	0.837460513531384	188	1.26378840805748	187	0
4	T3-T5	312868	312945	77	3.19180192007818	1.40202719800584	12.0197560415027	5.1827347935787	12.0197560415027	0.352034714251238	89	0.402210688543351	114	1
4	T3-T5	538375	538444	69	4.21997156140486	1.37630163026904	17.3983565079546	9.40138417389479	17.3983565079546	0.668463712684986	121	2.23010329015792	120	1
5	T5-O1	126895	126987	92	2.86600098149438	1.20055868951392	9.64883008773316	5.6988323196299	9.64883008773316	0.276541816769316	117	1.67111773031315	116	1
5	T5-O1	193215	193322	107	3.4167226718765	1.51000959748711	12.0670106394321	5.11988308374515	23.8232229977567	0.270534736479248	202	0.512222977959269	300	1
5	T5-O1	302525	302641	116	4.17556891822143	1.30178537821656	16.4570910110935	10.2885111820558	16.4570910110935	0.41229689592052	88	0.526855871329038	113	1
5	T5-O1	429961	430045	84	3.63576085335061	1.17409680425754	12.0321571410709	9.5892094907922	12.0321571410709	0.292101495115556	108	0.52892023360274	112	1
5	T5-O1	462949	463023	74	2.91264763567482	1.41941778569047	9.58551189707105	4.21071076408129	13.3457381024251	0.335454233321091	89	0.341381832114322	95	1
5	T5-O1	567738	567842	104	3.82074628140828	1.43920854062771	14.2738381467085	7.04772489262767	14.2738381467085	0.415251357425796	111	0.711343175201299	110	1
6	Fp2-F8	30309	30420	111	4.14360429986122	1.36858349154396	16.3827778022978	9.16671979207896	16.3827778022978	0.471285509721609	120	2.41492628550932	124	1
6	Fp2-F8	97816	97940	124	3.98115562763093	1.83098738070989	16.4328524486413	4.72767493424401	16.4328524486413	0.448798900054858	112	0.500473516097067	111	1
6	Fp2-F8	122439	122512	73	11.2702385014007	1.54529401293874	52.1595836581722	53.1917121148462	52.1595836581722	4.3595585084362	83	5.36459678792733	82	0
6	Fp2-F8	348185	348288	103	3.33209224777359	1.34546087868905	11.9025668267098	6.13326717047727	11.9025668267098	0.276286415660605	116	1.97748620374873	115	1
6	Fp2-F8	460159	460239	80	3.55887392783725	1.32461136549694	13.9013090681047	7.21852147538318	13.9013090681047	0.44397771071464	90	0.384967109714673	110	1
6	Fp2-F8	464455	464506	51	2.54168282346241	1.25947857860784	7.92571930619797	4.07250041554462	8.93103577698213	0.256303621837204	139	0.267982119878653	145	1
6	Fp2-F8	547013	547088	75	4.98990628280717	1.39807181496302	18.7218521594775	12.7387207448905	18.7218521594775	0.463043109059949	260	0.513540112292476	300	1
6	Fp2-F8	582736	582830	94	12.4167576097001	1.98023177710051	44.2758832947282	39.3173605971561	44.2758832947282	1.7101687174461	102	2.0887733615236	112	0
7	F8-T4	34405	34461	56	4.9637370025296	1.6520644894498	17.8884798760219	9.02741760391078	28.0171844923276	1.44475480549168	159	1.53444775646496	163	1
7	F8-T4	36899	36967	68	3.4721550178337	1.2954483302413	14.4047991955467	7.18386267338708	16.378212298591	0.508685022877428	213	2.00940792831605	237	1
7	F8-T4	55666	55725	59	5.10206666590318	1.24441134639077	18.2803375143133	16.8098691711263	18.2803375143133	1.26284685445362	113	1.41151767429657	112	1
7	F8-T4	130247	130303	56	5.90645492606996	1.54561481004754	29.2982111428193	14.6033080712331	29.2982111428193	1.70344940677409	186	2.69570916055405	185	1
7	F8-T4	348153	348248	95	3.49374824707605	1.39185008165053	12.2179447455592	6.3008377458113	12.3128009063251	0.310392382631815	NaN	2.25653742008064	300	1
7	F8-T4	422359	422426	67	3.84814879497262	1.39068246862271	13.9913031507839	7.65680793196684	13.9913031507839	0.653898197416249	121	1.2434553263825	120	1
7	F8-T4	428186	428254	68	2.87915785556279	1.28646813109925	9.86656748049421	5.00879075127541	10.2389691518997	0.289747034757998	94	0.294003841860845	101	1
8	T4-T6	18525	18726	201	5.75513827654558	1.41128403734929	25.1653540001856	16.6296330701242	25.1653540001856	0.672659179625577	104	0.674405229790033	103	1
8	T4-T6	41459	41564	105	4.02930959740624	1.58039249136362	14.3041104638183	6.50026947746861	16.7248434351438	0.51498601502957	83	0.530929714776311	82	1
8	T4-T6	97404	97508	104	4.91533205516722	1.95858155065994	21.0577675538708	6.29828640075773	21.0577675538708	0.421124696333638	115	2.91339683837206	114	1
