nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
1	Fp1-Fp2	123809	124499	690	10.6015515693726	4.33290800291633	64.6525384352941	6.61592608158734	65.2370315099238	2.92376620181539	103	3.30960414548525	102	0
1	Fp1-Fp2	124703	124766	63	8.53207540095615	7.3561023491708	31.3777437838262	3.11803912239465	65.2370315099238	2.2441058697881	179	3.4867814264033	178	0
1	Fp1-Fp2	345681	345742	61	6.33239404042272	2.77443828445609	23.941029350901	5.20937624942786	27.4509402895944	1.88081627586391	88	2.88439959024054	87	1
1	Fp1-Fp2	466991	468012	1021	12.6440622422363	2.30753599546117	79.7251500856225	30.0245344012307	79.7251500856225	0	NaN	-1	300	0
2	Fp1-F7	123934	124088	154	11.0731352273528	6.20889153314002	46.051506326586	4.40506110974697	67.0970708913804	4.12468645158663	91	4.60846003583461	90	0
2	Fp1-F7	124302	124399	97	10.9528034254409	6.47099340280934	52.8000066418799	4.22473227566763	67.0970708913804	1.95200577195339	112	5.24804891330657	111	0
2	Fp1-F7	124516	124604	88	12.9300529382412	6.3333207909105	66.3186939053502	5.90523861790936	67.0970708913804	3.11123385593738	123	4.07828040503496	122	0
2	Fp1-F7	466990	468073	1083	12.5573708750226	2.1054683458336	75.1444832440461	35.5713222640673	75.1444832440461	0	NaN	-1	300	0
3	F7-T3	467428	467524	96	5.51490727441257	2.53986003370759	20.0948886705391	4.71473037105826	21.2784867672804	0.570089195577582	122	0.822654671480616	122	1
3	F7-T3	564380	564467	87	7.49532930254917	2.30898816461622	38.6496199468202	10.5375105506837	38.6496199468202	1.53012331081244	143	3.33570897777675	142	0
4	T3-T5	564403	564473	70	9.08471240269902	2.02658453385345	51.1097579017097	20.0952271024011	51.1097579017097	2.63317895313016	83	2.72195875849654	82	0
6	Fp2-F8	123885	123988	103	7.61959810153624	2.93607538903087	31.7796455677126	6.73487786741139	31.7796455677126	1.08101727353003	101	1.20379400495456	124	1
6	Fp2-F8	467223	467303	80	5.45466588018261	3.09986345544599	21.8746048796373	4.19994240179613	27.6402978097532	0.784517363265282	139	0.70400238663982	138	1
6	Fp2-F8	467488	467604	116	7.0883870205311	2.85190799845826	27.193806427924	6.95839240325498	27.6402978097532	1.81751880952356	116	1.31444455606832	115	1
