nChannel	strChannelName	indStart	indStop	indDuration	Event_RMS	Window_RMS	EventPeak2Peak	SNR	Amplpp	PowerTrough	Ftrough	PowmaxFR	fmax_FR	EvPassRejection
5	T5-O1	205337	205433	96	6.58430927848373	1.58716884592205	23.2587683482701	17.2097350500478	23.2587683482701	0.54682051272665	87	0.681637397423132	86	1
8	T4-T6	19107	19278	171	6.79462142843262	1.43783785022356	37.0429834539976	22.331130263902	37.0429834539976	0.526409594536418	NaN	11.3149269587022	300	1
8	T4-T6	84998	85069	71	4.47496327665112	1.70139570153534	15.6529595468427	6.91780456887711	17.0005426660876	0.480080002620264	83	0.566889043955242	82	1
8	T4-T6	150620	150681	61	7.77310286421309	1.54467632674677	26.5983333789428	25.3229238134815	26.5983333789428	0.557676599260642	227	0.715765571485008	300	1
8	T4-T6	237930	238043	113	7.89026120979451	1.63968740458938	36.7113520687089	23.1558453614433	36.7113520687089	0.441482717243819	120	0.442528697880832	119	1
8	T4-T6	261482	261526	44	2.99963125293684	1.42547409022068	10.6609946922066	4.42809657326049	12.021403126764	0.469658238419426	169	1.6186127860869	168	1
8	T4-T6	290142	290282	140	6.68360115988626	1.56481858364814	29.472769001568	18.2428657099688	29.472769001568	0.740247964538719	83	0.733089855193924	82	1
8	T4-T6	325863	325930	67	3.04607645756372	1.32519356466746	9.71242354013636	5.28351523099344	9.71242354013636	0.685544012965996	83	1.72009237179214	82	1
8	T4-T6	342858	342930	72	5.20858896687449	1.64346593569526	21.7730133943176	10.0442788156381	21.7730133943176	0.410699658653016	209	0.590197219963973	300	1
11	F3-C3	3051	3096	45	2.3304153128474	1.33152771871005	7.58430300080684	3.06313563211393	9.24913421906299	0.663190886355424	83	0.831071109929287	82	0
11	F3-C3	204605	204663	58	2.17794422600327	1.3217956345143	7.21306068902707	2.71496903955455	9.31974919338831	0.143253857762188	109	0.99134510447076	206	0
11	F3-C3	252814	252883	69	2.3230324050012	1.39178758559617	7.26871012173053	2.78589420049998	9.17121519225087	0.168639400871653	125	1.27485944087346	124	0
